# {"pwd":"/Users/rakheendama/Projects/2026/maestro/.claude/worktrees/multi-instance-verification/maestro-integration-tests","gitHead":"7113e069eca5f3ba3bdaa8d519f878cef542de22","branch":"worktree-multi-instance-verification","timestampUtc":"2026-08-01T21:43:25.642467Z","seed":-6973268155056049009,"mode":"SOAK","runId":"20260801-214325--6973268155056049009"}
timestampUtc,usedMb,committedMb,maxMb
2026-08-01T21:44:06.168565Z,35,78,2048
2026-08-01T21:44:21.316241Z,59,78,2048
2026-08-01T21:44:36.454346Z,36,78,2048
2026-08-01T21:44:51.586195Z,49,78,2048
2026-08-01T21:45:06.735778Z,57,78,2048
2026-08-01T21:45:21.877736Z,45,78,2048
2026-08-01T21:45:37.014051Z,68,78,2048
2026-08-01T21:45:52.169896Z,38,78,2048
2026-08-01T21:46:07.296755Z,61,78,2048
2026-08-01T21:46:22.452375Z,57,78,2048
2026-08-01T21:46:37.602681Z,49,78,2048
2026-08-01T21:46:52.746002Z,51,78,2048
2026-08-01T21:47:07.883906Z,59,78,2048
2026-08-01T21:47:23.030993Z,32,78,2048
2026-08-01T21:47:38.173130Z,68,78,2048
2026-08-01T21:47:53.303134Z,61,78,2048
2026-08-01T21:48:08.457108Z,55,78,2048
2026-08-01T21:48:23.597263Z,33,78,2048
2026-08-01T21:48:38.723948Z,52,78,2048
2026-08-01T21:48:53.845214Z,42,78,2048
2026-08-01T21:49:08.978619Z,34,78,2048
2026-08-01T21:49:24.104687Z,32,78,2048
2026-08-01T21:49:39.254575Z,57,78,2048
2026-08-01T21:49:54.434891Z,56,78,2048
2026-08-01T21:50:09.572439Z,59,78,2048
2026-08-01T21:50:24.705595Z,35,78,2048
2026-08-01T21:50:39.827757Z,66,78,2048
2026-08-01T21:50:54.991273Z,59,78,2048
2026-08-01T21:51:10.127186Z,62,78,2048
2026-08-01T21:51:25.245254Z,36,78,2048
2026-08-01T21:51:40.385405Z,44,78,2048
2026-08-01T21:51:55.518521Z,66,78,2048
2026-08-01T21:52:10.642771Z,50,78,2048
2026-08-01T21:52:25.794779Z,54,78,2048
2026-08-01T21:52:40.938953Z,46,78,2048
2026-08-01T21:52:56.062471Z,49,78,2048
2026-08-01T21:53:11.175206Z,48,78,2048
2026-08-01T21:53:26.296218Z,66,78,2048
2026-08-01T21:53:41.422025Z,49,78,2048
2026-08-01T21:53:56.598611Z,39,78,2048
2026-08-01T21:54:11.738743Z,43,78,2048
2026-08-01T21:54:26.901540Z,64,78,2048
2026-08-01T21:54:42.040704Z,42,78,2048
2026-08-01T21:54:57.161593Z,41,78,2048
2026-08-01T21:55:12.281542Z,45,78,2048
2026-08-01T21:55:27.424732Z,68,78,2048
2026-08-01T21:55:42.577039Z,63,78,2048
2026-08-01T21:55:57.771138Z,56,78,2048
2026-08-01T21:56:12.912783Z,62,78,2048
2026-08-01T21:56:28.058532Z,35,78,2048
2026-08-01T21:56:43.195044Z,33,78,2048
2026-08-01T21:56:58.337324Z,56,78,2048
2026-08-01T21:57:13.490372Z,54,78,2048
2026-08-01T21:57:28.599288Z,47,78,2048
2026-08-01T21:57:43.768688Z,35,78,2048
2026-08-01T21:57:58.899829Z,53,78,2048
2026-08-01T21:58:14.054450Z,46,78,2048
2026-08-01T21:58:29.181525Z,71,78,2048
